ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00108 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00109 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00110 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Lactarius NA
ASV_ITS_00111 k__Fungi NA NA NA NA NA NA
ASV_ITS_00112 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae NA NA
ASV_ITS_00113 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__bicolor
ASV_ITS_00114 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00115 k__Fungi NA NA NA NA NA NA
ASV_ITS_00116 k__Fungi NA NA NA NA NA NA
ASV_ITS_00117 k__Fungi p__Ascomycota c__Leotiomycetes o__Thelebolales f__Pseudeurotiaceae g__Pseudogymnoascus NA
ASV_ITS_00118 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Hydnangiaceae g__Laccaria s__laccata
ASV_ITS_00119 k__Fungi p__Basidiomycota c__Agaricomycetes o__Thelephorales f__Thelephoraceae g__Tomentella s__sublilacina
ASV_ITS_00120 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Pezoloma s__ericae
ASV_ITS_00121 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Leucosporidiales f__Leucosporidiaceae g__Leucosporidium s__drummii
ASV_ITS_00122 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Meliniomyces NA
ASV_ITS_00123 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Constantinomyces s__nebulosus
ASV_ITS_00124 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Glarea NA
ASV_ITS_00125 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae g__Cladophialophora s__minutissima
ASV_ITS_00126 k__Fungi p__Basidiomycota c__Agaricomycetes o__Cantharellales f__Clavulinaceae NA NA
ASV_ITS_00127 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Meliniomyces NA
ASV_ITS_00128 k__Fungi p__Rozellomycota c__Rozellomycotina_cls_Incertae_sedis o__GS12 NA NA NA
ASV_ITS_00129 k__Fungi p__Rozellomycota c__Rozellomycotina_cls_Incertae_sedis o__GS06 NA NA NA
ASV_ITS_00130 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Ophiocordycipitaceae g__Tolypocladium s__inflatum
ASV_ITS_00131 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Sclerotiniaceae g__Botrytis s__porri
ASV_ITS_00132 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__macrocystis
ASV_ITS_00133 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00134 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Hypholoma s__elongatum
ASV_ITS_00135 k__Fungi p__Ascomycota NA NA NA NA NA
ASV_ITS_00136 k__Fungi NA NA NA NA NA NA
ASV_ITS_00137 k__Fungi NA NA NA NA NA NA
ASV_ITS_00138 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00139 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00140 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Glutinomyces NA
ASV_ITS_00141 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Glarea NA
ASV_ITS_00142 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00143 k__Fungi p__Ascomycota c__Leotiomycetes o__Leotiales f__Mniaeciaceae g__Epithamnolia s__rangiferinae
ASV_ITS_00144 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00145 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00146 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Glarea NA
ASV_ITS_00147 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00148 k__Fungi NA NA NA NA NA NA
ASV_ITS_00149 k__Fungi p__Ascomycota c__Dothideomycetes o__Dothideales f__Dothideaceae NA NA
ASV_ITS_00150 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Pezoloma s__ericae
ASV_ITS_00151 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Sympoventuriaceae NA NA
ASV_ITS_00152 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae NA NA
ASV_ITS_00153 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiales_fam_Incertae_sedis g__Davidhawksworthia s__ilicicola
ASV_ITS_00154 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__violaceoincarnata
ASV_ITS_00155 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00156 k__Fungi p__Ascomycota c__Dothideomycetes NA NA NA NA
ASV_ITS_00157 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Lichenomphalia s__umbellifera
ASV_ITS_00158 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Alatospora NA
ASV_ITS_00159 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__alpinus
ASV_ITS_00160 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Bionectriaceae g__Nectriopsis NA
ASV_ITS_00161 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__alpinus
ASV_ITS_00162 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__vraolstadiae
ASV_ITS_00163 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Lactarius s__glyciosmus
ASV_ITS_00164 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00165 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00166 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00167 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Cladosporiaceae g__Cladosporium s__delicatulum
ASV_ITS_00168 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__alliacea
ASV_ITS_00169 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Cordycipitaceae g__Leptobacillium s__leptobactrum
ASV_ITS_00170 k__Fungi p__Ascomycota c__Sordariomycetes o__Ophiostomatales f__Ophiostomataceae g__Cornuvesica s__crypta
ASV_ITS_00171 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00172 k__Fungi NA NA NA NA NA NA
ASV_ITS_00173 k__Fungi p__Ascomycota c__Leotiomycetes o__Rhytismatales f__Rhytismataceae NA NA
ASV_ITS_00174 k__Fungi p__Ascomycota c__Dothideomycetes o__Tubeufiales f__Tubeufiaceae g__Helicoon NA
ASV_ITS_00175 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00176 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00177 k__Fungi p__Ascomycota c__Dothideomycetes o__Pleosporales f__Melanommataceae g__Melanomma s__japonicum
ASV_ITS_00178 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Gyoerffyella s__entomobryoides
ASV_ITS_00179 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae NA NA
ASV_ITS_00180 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00181 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae NA NA
ASV_ITS_00182 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Mycosymbioces s__mycenaphila
ASV_ITS_00183 k__Fungi NA NA NA NA NA NA
